Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
82421,F28Rh4Tb1Tm3,3701773f25,TbTm3Rh4F28,"['F', 'Rh', 'Tb', 'Tm']",36,509.1745,5.2483,1,P1,1,triclinic,-208.8737,-2.9954,-0.1561,3D,0.0023,True,0.0,,-0.1561,-0.0276
82817,Ac2F14Ru1Zr1,37487cd56b,Ac2ZrRuF14,"['F', 'Zr', 'Ru', 'Ac']",18,333.9296,4.5365,1,P1,1,triclinic,-119.6646,-3.7133,-0.0879,3D,0.0747,False,0.0,,-0.0879,-0.0323
82963,Cl2F2I4Nb2,3761aea973,NbI2ClF,"['F', 'Cl', 'Nb', 'I']",10,338.3913,3.9372,mm2,Imm2,44,orthorhombic,-50.506,-1.6687,-0.0262,1D,1.2206,True,0.0,,-0.0262,-0.0183
83238,F30Lu2Pd1Pt1Zr4,378d9c8201,Lu2Zr4PdPtF30,"['F', 'Zr', 'Pd', 'Lu', 'Pt']",38,497.6769,5.2928,2,C2,5,monoclinic,-244.2024,-3.4835,-0.0083,3D,,True,0.0,,-0.0083,-0.0082
83488,F28In3Lu1Tc4,37bbd87190,LuIn3Tc4F28,"['F', 'Tc', 'In', 'Lu']",36,500.7995,4.7859,1,P1,1,triclinic,-207.5654,-2.7729,-0.0416,3D,1.4974,False,0.0,,-0.0416,-0.0342
83507,Au1Ba2Br1F14,37c079f663,Ba2AuBrF14,"['F', 'Br', 'Ba', 'Au']",18,284.366,4.7738,1,P1,1,triclinic,-76.4926,-2.2768,-0.0473,intercalated ion,,True,0.0,,-0.0473,-0.038
83783,F12Ru1Sr1Tc1,37ecd07968,SrTcRuF12,"['F', 'Sr', 'Tc', 'Ru']",15,269.9122,3.1663,1,P1,1,triclinic,-84.0406,-2.6519,-0.0698,intercalated ion,0.0935,False,0.0,,-0.0698,-0.029
83937,F16O2Rh6,3807eafe7c,Rh3OF8,"['O', 'F', 'Rh']",24,302.685,5.2304,m,Cc,9,monoclinic,-126.8823,-1.759,-0.0179,3D,,True,-0.0,,-0.0179,-0.0174
84034,F37Mg1,3816966114,MgF37,"['F', 'Mg']",38,704.9187,1.7131,1,P1,1,triclinic,-96.9794,-0.6488,-0.3465,0D,,True,0.0,,-0.3465,-0.3244
84217,F8S32Sn2,3836985f74,Sn(S4F)4,"['F', 'S', 'Sn']",42,1352.8826,1.7374,mm2,Fdd2,43,orthorhombic,-196.9389,-0.9824,-0.3373,0D,,True,0.0,,-0.3373,-0.3373
